LLB,SBI,AFC,LASD,LLSD,material_id,formula,num_elements,bandgap,energy_above_hull,formation_energy_per_atom
0.0,0.8200000000000002,2.6666666666666665,4.591379628175427,5.643736667073099,mp-1194993,Cs8 Li4 Nd4 B8 O24,5,4.476199999999999,0.0,-2.830112944039751
0.0,0.3514285714285715,3.0,8.332128616507989,10.687076243273443,mp-1198331,Rb16 Li4 H12 S16 O64,5,5.095000000000001,0.0,-2.045187321324404
0.0,0.4685714285714286,2.095238095238096,3.620817434276789,4.860486268046837,mp-560246,Li2 U2 P2 H16 O20,5,2.4741,0.0,-2.076988295379818
0.0,0.8945454545454546,2.5454545454545454,3.543068423456809,5.857286648083375,mp-1222409,Li2 Ga2 B2 H6 O10,5,4.4692,0.0,-2.055774552159091
0.0,0.756923076923077,5.384615384615385,3.362731791265408,5.685048814796051,mp-559875,K6 Na4 Li2 Te2 O12,5,2.4555,0.0,-1.831739977269894
0.0,1.153333333333333,4.666666666666667,3.976435080281149,5.22290466296909,mp-1196828,Na4 Li4 Mg4 P4 O16 F4,6,5.1228,0.0,-2.964318382983944
0.0,0.6560000000000001,3.2,4.574092788713269,5.796014751550292,mp-558267,Na4 Li4 Si4 B12 H4 O32,6,5.445699999999999,0.0,-2.717652434564175
0.0,0.24,4.536585365853658,6.741486882765726,11.39637635277328,mp-645405,Rb12 Li2 Pr22 Se24 Cl32 O72,6,3.073399999999999,0.0,-2.375456271704776
0.0,0.24,4.536585365853658,6.705349166821891,11.327307576600536,mp-607785,Rb12 Li2 Nd22 Se24 Cl32 O72,6,3.113299999999999,0.0,-2.381037219560466
0.0,7.380000000000002,6.5,2.4357723360495904,3.0659444925752077,mp-841,Li4 O4,2,1.974299999999999,0.0,-1.650170236666666
0.0,4.266666666666667,5.333333333333333,1.7634981581266544,2.8351677243799,mp-1153,Li2 S1,2,3.3862,0.0,-1.503132669722222
0.0,6.560000000000001,5.333333333333333,1.4473230052578565,2.326854259594377,mp-1960,Li2 O1,2,4.8986,0.0,-2.061597913888889
0.0,4.1866666666666665,5.333333333333333,1.8511247080409003,2.976044239050556,mp-2286,Li2 Se1,2,2.9746,0.0,-1.451676987465277
0.0,2.986666666666667,5.333333333333333,2.025803346657632,3.2568744936309395,mp-2530,Li2 Te1,2,2.4914,0.0,-1.178086924444443
0.0,4.0,4.0,2.935218455546415,3.933059681704926,mp-7791,Li4 Ge2 F12,3,5.7409,0.0,-3.016499819629629
0.0,3.2960000000000003,4.0,1.901145648188723,2.5710498581315653,mp-9610,Li2 C1 N2,3,3.7395,0.0,-0.8249675768333341
0.0,3.2960000000000016,5.0,2.8464118159223863,3.111168696775735,mp-1029776,Li8 Ge4 N8,3,2.695099999999999,0.0,-0.568242246833334
0.0,1.8299999999999987,4.142857142857143,3.7673396994157407,4.0115964519053,mp-1180666,Li16 Be8 H32,3,4.5911,0.0,-0.399996697559524
0.0,2.186666666666666,3.555555555555556,4.0332694271838525,4.062066104099009,mp-27811,Li8 Te8 O20,3,3.509199999999999,0.0,-1.8494780416666687
0.0,2.811428571428571,3.4285714285714284,3.414957192068136,3.859768118881323,mp-4556,Li8 S4 O16,3,6.0132,0.0,-2.311131788809523
0.0,2.9333333333333336,4.666666666666667,4.242249153672376,4.762605818854863,mp-558731,Li8 Te4 S12,3,1.5980999999999992,0.0,-0.929026853472221
0.0,3.2960000000000007,5.6,2.72788102452495,2.8629947892192384,mp-1976674,Li6 Th3 N6,3,2.6474,0.0,-1.25767850683333
0.0,3.4285714285714284,3.4285714285714284,3.554164817300596,3.9285504699094687,mp-4622,Li12 Be6 F24,3,7.722300000000001,0.0,-3.364770863571428
0.0,2.8114285714285687,3.4285714285714284,3.7469388611193017,4.1499617232383015,mp-4855,Li12 Se6 O24,3,3.9135,0.0,-1.851011195096726
0.0,4.920000000000001,6.0,2.388835148184446,3.078162685819056,mp-22450,Li4 Pb2 O6,3,1.044,0.0,-1.788510993611109
0.0,3.28,3.6666666666666665,4.135946501421069,4.742963647456871,mp-27231,Li8 Te4 O12,3,3.6349,0.0,-2.021365671805556
0.0,1.7444444444444445,4.0,3.7928641863193113,4.7504107727875065,mp-30100,Li4 B4 Se10,3,1.704699999999999,0.0,-0.6224246154050931
0.0,3.2800000000000007,3.6666666666666665,2.422986056764122,2.907604851739798,mp-3054,Li4 C2 O6,3,5.0574,0.0,-2.248137758194444
0.0,4.919999999999996,6.0,3.287344468077197,3.7762998575868862,mp-3540,Li8 Sn4 O12,3,3.1283,0.0,-2.224686791527778
0.0,4.0,4.0,3.1450315433912768,3.8534845662905455,mp-1193269,Li6 Si3 F18,3,8.0844,0.0,-3.406037659629626
0.0,4.0,4.0,2.0430978687411976,2.834506567125927,mp-1205739,Li2 Sn1 F6,3,5.0089,0.0,-3.028432519074074
0.0,3.2960000000000003,5.6,1.9274903777694228,2.358090824498274,mp-8181,Li2 Ce1 N2,3,1.203599999999999,0.0,-1.167017136166667
0.0,1.3733333333333333,4.0,2.498688615666835,2.908899392316221,mp-5853,Li2 Si4 N6,3,5.0143,0.0,-1.323993021388882
0.0,1.7174999999999996,6.375,2.449732663679397,2.9253625162717163,mp-569450,Li2 B12 C2,3,1.392199999999999,0.0,-0.244146521354166
0.0,0.7287499999999999,4.5625,3.14108534482536,3.025135832377821,mp-638070,Li2 B26 C4,3,2.7108,0.0,-0.164139984531249
0.0,2.952000000000001,4.8,3.0626918550292825,4.1208049608710295,mp-4995,Li4 Sb4 O12,3,2.1379,0.0,-2.118194097166666
0.0,3.0,4.0,3.6435533706211074,4.93000596196579,mp-8892,Li4 In4 F16,3,4.0149,0.0,-2.933849961111111
0.0,1.5999999999999996,6.0,3.235952756681573,4.186601664332488,mp-1095289,Li4 Ca4 As4,3,1.073299999999999,0.0,-1.236092714722222
0.0,1.5999999999999996,6.0,3.37464507442216,4.372342577777033,mp-1101989,Sr4 Li4 As4,3,1.0323,0.0,-1.199801943055556
0.0,1.626666666666666,4.0,3.0482221383002166,4.023259118033081,mp-1192133,Li4 B4 H16,3,6.3705,0.0,-0.448582993749999
0.0,1.5,2.6,4.728538098842475,6.634012289899162,mp-1195657,Li4 Sb8 F28,3,4.7225,0.0,-2.788219957583335
0.0,1.613333333333334,6.0,3.1641243006887527,4.098591186186907,mp-1211088,Li4 Ca4 P4,3,1.398699999999999,0.0,-1.190043544047618
0.0,0.7725000000000001,7.75,4.857864865364983,7.008584261870866,mp-1211905,K12 Li4 Ge16,3,1.0603,0.0,-0.249474369385415
0.0,2.4600000000000004,5.0,3.531978193802608,4.547953076383696,mp-21332,Li4 Gd4 O8,3,3.280399999999999,0.0,-3.213841752708333
0.0,2.0933333333333333,6.0,3.1714093085299395,4.090871534848529,mp-28603,Na4 Li4 Se4,3,2.4375,0.0,-1.371980806076387
0.0,2.616000000000003,3.6,5.2009487915188135,6.214940674246788,mp-29344,Li8 Ga8 Cl24,3,3.7633,0.0,-1.5089667385833332
0.0,2.4600000000000004,3.333333333333333,3.247783518390465,4.74269155710001,mp-30301,Li4 Cl4 O16,3,5.7447,0.0,-1.008014841805556
0.0,2.06,4.666666666666667,3.017192198180813,3.8635298854964986,mp-31468,Li4 Ca4 N4,3,1.378499999999999,0.0,-0.7978766309722221
0.0,2.4600000000000004,5.0,3.493078371448244,4.495993320148888,mp-7137,Li4 Tb4 O8,3,4.5467,0.0,-3.270821998749999
